Model,R2,MAPE,Epochs_Trained
GRU,0.4188680808434263,3.0877984572202752,20.8
ANN,-0.4667480960629704,6.153718282407615,11.6
Transformer,-1.4396827345085101,6.88400659751872,59.6
LSTM,-1.788890616749701,6.9853232650583506,34.6
